PLAN TYPE,PLAN NO,PLAN YEAR,CALENDAR YEAR,Plan,DESCRIPITION OF PLAN,# OF SHEETS,Project on File,LINK TO ELECTRONIC FILES
S,11,2012,8/7/2012,S-11-2012,FALLS GLEN - PH.IV-CONSTRUCTION DRAWINGS - DUNN RD. & FALLS LANDING DR.,9,X,S-11-2012
S,12,1986,1986,S-12-1986,FOX ROAD ENTERPRISES ; R/W DEDICATED,2,X,S-12-1986
S,12,1989,1991,S-12-1989,NORTH BOULEVARD INDUSTRIAL PARK,4,X,S-12-1989
S,12,1991,1992,S-12-1991,FOX GLEN SUBDIVISION ; PHASE'S 2;5;6 & 7,5,X,S-12-1991
S,12,1992,Dec-92,S-12-1992,GREEN SUBDIVISION ; RECOMBINATION AND R/W DEDICATION PLATS,2,X,S-12-1992
S,12,1993,Oct-94,S-12-1993,BENT TREE PLAZA ; SUBDIVISION AND R/W DEDICATION PLATS,2,X,S-12-1993
S,12,1994,1995,S-12-1994,PINECREST SUBDIVISION ; PHASE 1,1,X,S-12-1994
S,12,1995,Apr-96,S-12-1995,SUBDIVISION PLAT FOR THE PROPERTY OF MAYLON H. FOWLER,2,X,S-12-1995
S,12,1996,1997,S-12-1996,SUBDIVISION PLAN FOR LINCOLN PARK EAST; PHASES 2;LT'S 10-14,17,X,S-12-1996
S,12,1997,1998,S-12-1997,JEFFREYS CREEK SITE PLAN P&P; LOT LAYOUT,20,X,S-12-1997
S,12,1999,1999,S-12-1998,WHITAKER TOWNS - SITE; UTILITY,2,X,S-12-1998
S,12,1999,1999,S-12-1999,FALLS RIVER PH 9 - SITE; UTE; STM; P&P,5,X,S-12-1999
S,12,1999,1999,S-12-1999,FALLS RIVER PH 13 - RDS; LOTS; SITE; UTIL; ERO; P&P,14,X,S-12-1999
S,12,1999,2000,S-12-1999,FALLS RIVER PH 8 - STE; UTE; STRM; P&P; ERO,14,X,S-12-1999
S,12,1999,2000,S-12-1999,FALLS RIVER PH 10&11 - STE; UTE; STR; RDS; P&P,8,X,S-12-1999
S,12,1999,2000,S-12-1999,FALLS RIVER PH 2 - STE; UTE; STRM DR & ERO; P&P; RD,11,X,S-12-1999
S,12,2000,2000,S-12-2000,PERRY CREEK COMMONS TRT 1 - STE; ERO; UTE; SS O/F; STR; DR; P&P RD,7,X,S-12-2000
S,12,2000,2001,S-12-2000,THORNTON RD IMPROVEMENTS - STE; UTE; ERO; P&P; STEM; DR,11,X,S-12-2000
S,12,2001,2002,S-12-2001,CORNERSTONE PARL LOT 6 & 9 - SUB; L/S; UTE; P&P; RDW; DTLS; DRN; ERO,5,X,S-12-2001
S,12,2001,2001,S-12-2001,OFFSITE ROAD IMPROVEMENTS @ CORNERSTONE PK - HWY 70 P&P; EBENEZER CH RD P&P,4,X,S-12-2001
S,12,2003,2003,S-12-2003,GLENANNEVE PLACE,14,X,S-12-2003
S,12,2004,2004,S-12-2004,GLENWOOD WEST LIFESTYLE CENTER,2,X,S-12-2004
S,12,2009,12-May,S-12-2009,CRANBROOK RD SUB'D. STORMWATER MANAGEMENT PLAN,10,X,S-12-2009
S,12,2010,2011,S-12-2010,BELMONT HALL ; PHASES 1-5 ;UTIL. PLAN REV.6/24/2011,71,X,S-12-2010
S,12,2012,12/20/2012,S-12-2012,DEL WEBB ARBORS DR ; PHASE 2 AND T W ALEXANDER PLACE SUB'D - PH'S 7;12;13; 14;16 & 18,26,X,S-12-2012
S,13,1987,1987,S-13-1987,TIFTON HILLS SUB'D. ; PHASE 2 / VILLAGE LAKES ; R/W DEDICATION,2,X,S-13-1987
S,13,1989,1992,S-13-1988,LAURENWOOD SUBDIVISION,1,X,S-13-1988
S,13,1992,Jan-96,S-13-1992,REEDHAM OAKS ; PHASE 1,1,X,S-13-1992
S,13,1995,1996,S-13-1995,SUNSET TERRACE TOWN HOMES,4,X,S-13-1995
S,13,1996,1996,S-13-1996,FALLS RIVER PH 1C,15,X,S-13-1996
S,13,1996,1997,S-13-1996,FALLS RIVER PH 1C,9,X,S-13-1996
S,13,1997,1998,S-13-1997,CARDINAL GOVE PH 4 - LOT LAYOUT,7,X,S-13-1997
S,13,1997,1998,S-13-1997,CARDINAL GROVE PH 5 - SITE; LOTS; UTILITY; P&P,9,X,S-13-1997
S,13,1997,1997,S-13-1997,CARDWAL GROVE PH 4 SEC A-D - LOTS; ROADS; UTILITY P&P,9,X,S-13-1997
S,13,1997,Jun-98,S-13-1997,CARDINAL GROVE PH 4 - P&P LOTS; SITE PLAN,1,X,S-13-1997
S,13,1998,1998,S-13-1998,PEARTREE LANE SUBDIVISION,15,X,S-13-1998
S,13,1999,2000,S-13-1999,ENCLAVE @ INMAN PARK - SITE; UTE; RD; P&P,12,X,S-13-1999
S,13,1999,1999,S-13-1999,THE ENCLAVE @ INMAN PARK - GREEN; UTILITY,15,X,S-13-1999
S,13,1999,2002,S-13-1999,ENCLAVE @ INMAN PARK - SITE; UTE; RD; P&P,11,X,S-13-1999
S,13,2002,2002,S-13-2002,MERYTON SUBD PH 1&2 - STE; GR; ERO; UTE; LT; LYT; O/F; P&P,9,X,S-13-2002
S,13,2002,2003,S-13-2002,MERYTON; PHASE 3-6 - LT LYT;UTE;GRA;DR;P&P;ERO,1,X,S-13-2002
S,13,2002,2002,S-13-2002,MERYTON SUBD  PH 1& 2--STORM DRAIN REVISION  LOT 54             UTE,15,X,S-13-2002
S,13,2006,2006,S-13-2006,WESTCHASE SUBDIVISION ; STORMWATER REVISED 3-24-2011,24,X,S-13-2006
S,13,2010,11-May,S-13-2010,THALES ACADEMY-FOX RD.; REV. 4/4/2011,16,X,S-13-2010
S,13,2011,1/20/2012,S-13-2011,GREY'S LANDING -INFRASTRUCTURE CONST. PLANS,27,X,S-13-2011
S,13,2012,1/6/2013,S-13-2012,BROOKHAVEN PLACE SUB'D. INFRASTRUCTURE,13,X,S-13-2012
S,14,1984,Apr-84,S-14-1984,BROUGHTON FARMS SUBDIVISION ; LOT 6,1,X,S-14-1984
S,14,1986,1986,S-14-1986,EMERALD POINT ; PHASE 1 & 2,2,X,S-14-1986
S,14,1987,May-87,S-14-1987,LANDFALL NORTH  ; PHASE 2   (L-840 ),1,X,S-14-1987
S,14,1992,Jan-92,S-14-1992,SPRING PINES SUBDIVISION ; PHASE 3-B,1,X,S-14-1992
S,14,1993,1993,S-14-1993,WOODS OF SAINT ALBANS SUBDIVISION,4,X,S-14-1993
S,14,1995,1995,S-14-1995,NORTH RALEIGH CHURCH OF THE NAZERENE,1,X,S-14-1995
S,14,1996,1996,S-14-1996,SUBDIVSION OF SHAW PROPERTY GLENWOOD AVENUE,1,X,S-14-1996
S,14,1997,1997,S-14-1997,CAROLINA PINES - ROAD IMPROVEMENTS / LOT L/O; P&P,7,X,S-14-1997
S,14,1998,1998,S-14-1998,HEDINGHAM PH 3 - CRAIGBURN - P&P,5,X,S-14-1998
S,14,2000,2000,S-14-2000,WAKEFIELD PLANTATION LOT 1-3 PH 1& 2 - SUBD PLAN; UTE; SS; GR; STR; ERO; P&P; RDS,9,X,S-14-2000
S,14,2001,2001,S-14-2001,BRIER CREEK PARCEL H ACCESS RD - P&P; DR; ERO,14,X,S-14-2001
S,14,2001,2002,S-14-2001,BRIER CREEK PARCEL H - SAN SWR MAIN RELOCATION - P&P; ERO,4,X,S-14-2001
S,14,2001,2002,S-14-2001,BRIER CREEK; PARCEL H; PHASE 1 - ST#2;P&P;RD;WIDE;UTE;RNDABT,14,X,S-14-2001
S,14,2001,2004,S-14-2001,BRIER CREEK PARCEL H PHASE 1 (TURN LANE REVISION ONLY),2,X,S-14-2001
S,14,2001,2004,S-14-2001,BRIERDALE SHOPPING CENTER - REVISION - GRA;DRA;ERO;STRM,2,X,S-14-2001
S,14,2002,2002,S-14-2002,ROGERS REALTY PROP LTS 1; 2 & 3 SEWER ONLY SWR O/F P&P,4,X,S-14-2002
S,14,2003,2003,S-14-2003,LANDINGS @ NEUSE CROSSINGS;  PH 1 & 2,28,X,S-14-2003
S,14,2005,8-Aug,S-14-2005,FARMINGTON SQUARE,16,X,S-14-2005
S,14,2006,2006,S-14-2006,MORDECAI TOWNHOUSES @ COURTLAND UTILITY PLAN,2,X,S-14-2006
S,14,2011,1/17/2012,S-14-2011,GLENLAKE GARDENS ; INFRASTRUCTURE CONST. PLANS,19,X,S-14-2011
S,15,1986,Aug-86,S-15-1986,ANTHONY PROPERTY SUBDIVISION ;ASCOT CT;MAYLAND DR AND SANDY FORKS RD.,1,X,S-15-1986
S,15,1988,Apr-88,S-15-1988,SPRINGDALE SHOPPING CENTER; INC. ; TRACTS C & G,1,X,S-15-1988
S,15,1989,1989,S-15-1989,WYNDHAM SUBDIVISION ; PHASE'S 1 THRU 3,4,X,S-15-1989
S,15,1991,1991,S-15-1991,BERKSHIRE DOWNS WEST ; PHASE 9 (S-1024),1,X,S-15-1991
S,15,1992,Jan-92,S-15-1992,VILLAGE LAKES SUBDIVISION ; PHASE 6,2,X,S-15-1992
S,15,1993,1993,S-15-1993,OLD WELL AT SUMMERFIELD SUBDIVISION,1,X,S-15-1993
S,15,1994,Jun-94,S-15-1994,UJAMAA SUBDIVISION,2,X,S-15-1994
S,15,1995,1995,S-15-1995,NORTH HILLS PLACE,1,X,S-15-1995
S,15,1995,1997,S-15-1997,PARRISH MANOR ; PHASE 1,3,X,S-15-1997
S,15,1999,1999,S-15-1999,DANBRIDGE - SITE; UTE; RD; STRM; P&P,5,X,S-15-1999
S,15,2000,2000,S-15-2000,CONSTRUCTION PLANS PACE ST II,6,X,S-15-2000
S,15,2001,2001,S-15-2001,COMSTOCK LANDING - UTE; DRN; ERO; WID; DTLS; P&P,11,X,S-15-2001
S,15,2001,2001,S-15-2001,COMSTOCK LANDING INFRASTRUCTURE IMPR - OLD LEADMINE RD WIDENING,3,X,S-15-2001
S,15,2001,2001,S-15-2001,"COMSTOCK LANDING ""UTILITY REVISION"" - UTE",3,X,S-15-2001
S,15,2002,2002,S-15-2002,AVALLON SUBD - STE; UTE; DR; ERO; STRM; GR; PP; SS O/F,12,X,S-15-2002
S,15,2003,2003,S-15-2003,OLD WAKE CENTER ll    STE;ERO;P&P,6,X,S-15-2003
S,15,2004,2004,S-15-2004,TRYON PLACE II - PH 1;2;3,9,X,S-15-2004
S,15,2004,2004,S-15-2004,TRYON PLACE II - PH 4 - 10,22,X,S-15-2004
S,15,2006,2006,S-15-2006,BRYNNAN PLACE SUBD,18,X,S-15-2006
S,15,2007,8-Aug,S-15-2007,TRIANGLE PROMENADE PLACE - WAL-MART SITE DEVELOPMENT PLANS ; AND REVISIONS,92,X,S-15-2007
S,15,2007,8-Aug,S-15-2007,TRIANGLE PROMENADE PLACE - SANITARY SEWER OUTFALL;WAL-MART-TRIANGLE REVISED 1/7/2012,88,X,S-15-2007
S,15,2007,1/11/2010,S-15-2007,WAL-MART-TRIANGLE PLACE PROMENADE- SEWER OUTFALL REVISED-1-7-2012,84,X,S-15-2007
S,15,2012,2/20/2013,S-15-2012,CONSTRUCTION PLANS FOR RIVER RUN ;PHASES 4 & 5 ; PHASE 4 REVISED 7-10-2013,13,X,S-15-2012
S,16,1985,Oct-86,S-16-1985,VICTORIA PLACE ;C.U.D. ; PHASE 2A (T-613),1,X,S-16-1985
S,16,1986,Jul-86,S-16-1986,VICTORIA PLACE ;C.U.D. ; PHASE 3    (T-606 ; T-613),2,X,S-16-1986
S,16,1988,Jan-89,S-16-1988,HEDINGHAM VILLAGE - BRISTOL PARK ; PHASE'S 1 THRU 3 (S-918 ; S-940),2,X,S-16-1988
S,16,1990,1990,S-16-1990,DURANT TRAILS ; PHASE'S 2 & 3    (Q-1258 ;Q-1284),2,X,S-16-1990
S,16,1991,Apr-92,S-16-1991,GRAND CYPRESS AT HEDINGHAM ON THE NEUSE  (S-1065),1,X,S-16-1991
S,16,1992,Apr-92,S-16-1992,EVANS MILL SUBDIVISION    (L-1152),1,X,S-16-1992
S,16,1993,May-94,S-16-1993,THE OAKS AT HARRINGTON GROVE ; PHASE'S 1A-B ;2  (L-1307; L1357;L-1440),3,X,S-16-1993
S,16,1994,1994,S-16-1994,SUNSET HILLS CHRISTIAN CHURCH    (K-805),1,X,S-16-1994
S,16,1995,1995,S-16-1995,DAVIS CIRCLE WIDENING,1,X,S-16-1995
S,16,1996,1996,S-16-1996,EDWARDS MILL RD EXTN,10,X,S-16-1996
S,16,1996,1996,S-16-1996,EDWARDS MILL RD (SOUTH OF TRINITY),10,X,S-16-1996
S,16,1996,1996,S-16-1996,TRINITY ROAD WIDENING,7,X,S-16-1996
S,16,1996,1996,S-16-1996,TRINITY SQUARE,13,X,S-16-1996
S,16,1996,1997,S-16-1996,TRINITY SQUARE / LOT LAYOUT - SITE PLAN - REVISION,3,X,S-16-1996
S,16,1996,1997,S-16-1996,TRINITY SQUARE - LOT LAYOUT - SITE PLAN,3,X,S-16-1996
S,16,1997,1997,S-16-1997,CAMDEN COURT TOWNHOMES - SITE; STORM; UT,9,X,S-16-1997
S,16,1997,1997,S-16-1997,DURALEIGH SQUARE - FORMERLY CAMDEN COURT TOWNHOMES (REVISED),9,X,S-16-1997
S,16,1998,1998,S-16-1998,ONE FIFTY ST MARY'S TOWNHOMES - SITE; UTILITY; R-MAP,5,X,S-16-1998
S,16,2000,2000,S-16-2000,LEESVILLE - STE; UTE; GR; DR; ERO; P&P; ROADWAY MAP; SS; RDS,17,X,S-16-2000
S,16,2002,2002,S-16-2002,OLD STONE CROSSING,16,X,S-16-2002
S,16,2003,2003,S-16-2003,LAFAYETTE SUBD.  PH l  STE; UTE;STRM;RDS;P&P;O/F ,15,X,S-16-2003
S,16,2003,2003,S-16-2003,LAFAYETTE SUBDIVISION - SIDEWALK REVISION,1,X,S-16-2003
S,16,2007,8-Jan,S-16-2007,ARBOR CHASE SUBDIV ; PHASES 1 & 2,22,X,S-16-2007
S,16,2010,11/20/2011,S-16-2010,LYNNWOOD BLUFF ;CONST. PLANS FOR TOWNHOMES;REV7/19/2012,48,X,S-16-2010
S,16,2011,10/31/2012,S-16-2011,CRABTREE COMMONS ; LOT 3 ; WATER AND SAN. SEWER EXTENSION - CRABTREE VALLEY AVE -REVISED,10,X,S-16-2011
S,17,1985,1985,S-17-1985,VESTAVIA WOODS AT GREYSTONE VILLAGE   (M-790 ; M-8310,2,X,S-17-1985
S,17,1987,1987,S-17-1987,VESTAVIA WOODS AT GREYSTONE VILLAGE  ; SECTION 3     (M-816),1,X,S-17-1987
S,17,1988,1988,S-17-1988,NEWTON COMMONS      (P-858),1,X,S-17-1988
S,17,1990,Jan-90,S-17-1990,AIRPORT COMMERCIAL PARK ; PHASE 2    (L-1017 )                               ,1,X,S-17-1990
S,17,1991,1991,S-17-1991,WIDGEON ASSOCIATES SUBDIVISION      (L-1199),1,X,S-17-1991
S,17,1993,Mar-93,S-17-1993,THE FIELDS ; PHASE'S 1 & 2,5,X,S-17-1993
S,17,1995,1995,S-17-1995,DEERFIELD @ EAGLE CHASE PH 6,2,X,S-17-1995
S,17,1996,1996,S-17-1996,LYNNWOOD COLLECTION SHOPPING CENTER,1,X,S-17-1996
S,17,1993,1997,S-17-1997,SUBDIVISION FOR F.I.M. PROPERTIES AND FRED J. MATT,1,X,S-17-1997
S,17,2000,2000,S-17-2000,HAMMOND INDUSTRIAL PARK ROADWAY IMPROVEMENTS,2,X,S-17-2000
S,17,2002,2002,S-17-2002,HARBOURGATE SUBD LAYOUT; STE; GR; ERO; UTE; P&P,9,X,S-17-2002
S,17,2004,2004,S-17-2004,JUST INSPECTIONS; 3850 NEW BERN AVENUE - STREETS & SEWER,3,X,S-17-2004
S,17,2004,2004,S-17-2004,JUST INSPECTIONS PHASING REVISIONS,1,X,S-17-2004
S,17,2005,2005,S-17-2005,STILLWATER DR SUB'D.,8,X,S-17-2005
S,18,1989,Apr-89,S-18-1989,MBCB SUBDIVISION ; LOT 3,1,X,S-18-1989
S,18,1994,Jun-94,S-18-1994,SIMM'S BRANCH / ANSON GROVE,3,X,S-18-1994
S,18,1995,Jun-95,S-18-1995,PROPERTY OF WILLIAMS REALITY AN BUILDING COMPANY,1,X,S-18-1995
S,18,1996,1996,S-18-1996,PROPERTY SURVEY FOR DAVID J. DEBESIS AND WIFE JOYCE A. DEBESIS,1,X,S-18-1996
S,18,1997,Dec-97,S-18-1997,WAKEFIELD ; TRACT 1 ; PHASE 1,1,X,S-18-1997
S,18,1998,1998,S-18-1998,WALNUT CREEK PH 1 - SUB -SITE; ERO; RDS; P&P,16,X,S-18-1998
S,18,1998,2001,S-18-1998,NEIGHBORHOODS OF WALNUT CREEK PH 3&8,21,X,S-18-1998
S,18,2000,2000,S-18-2000,BRIER CREEK COUNTRY CLUB PH 5 - SITE; UTE; GR; STRM; P&P; RDS,15,X,S-18-2000
S,18,2000,2000,S-18-2000,BRIER CREEK PH 7 - STE; UTE; GR; DR; ERO; P&P; RDS; SS O/F,15,X,S-18-2000
S,18,2001,2001,S-18-2001,RIDGELY TOWNHOMES & WEATHERBY VILLAS - UTE; GRD; DRN; P&P,15,X,S-18-2001
S,18,2002,2002,S-18-2002,LONG LAKE TERRACE LT 10 LONG LAKE SUB - LT; LYT; UTE; DR; GR; ERO; P&P; O/F,14,X,S-18-2002
S,18,2005,2005,S-18-2005,KIRKWOOD PARK,19,X,S-18-2005
S,18,2006,2006,S-18-2006,LOT 3 AT GLENWOOD NORTH,14,X,S-18-2006
S,18,2006,2006,S-18-2006,LOT 3 AT GLENWOOD NORTH - REVISED (LOT 1 REMOVAL),14,X,S-18-2006
S,19,2010,2010,S-18-2010,BUFFALOE RD AQUATIC CENTER ; COR ; PARKS AND RECREATION,1,X,S-18-2010
S,19,1983,1983,S-19-1983,BRITTANY WOODS TOWN HOMES,4,X,S-19-1983
S,19,1988,1988,S-19-1988,FIELDCROSS AT EAGLE CHASE    (T-637),1,X,S-19-1988
S,19,1989,1989,S-19-1989,WESTLAKE VILLAGE II      ,5,X,S-19-1989
S,19,1991,1991,S-19-1991,SURVEY FOR DAVE & JOHANNA POSTLETHWAIT,1,X,S-19-1991
S,19,1993,1993,S-19-1993,THE GREEK WAY SUBDIVISION ; PHASE 1,2,X,S-19-1993
S,19,1997,1997,S-19-1997,WESTWIND PH 3 - LOT LAYOUT P&P,6,X,S-19-1997
S,19,1998,1998,S-19-1998,GREEN PARK TOWNHOMES - SITE; UTILITY; ERO; STRM; P&P; ROAD,18,X,S-19-1998
S,19,1998,1998,S-19-1998,GREEN PARK TOWNS - SITE - REVISION - P&P; SITE,16,X,S-19-1998
S,19,1998,1998,S-19-1998,GREEN PARK TOWNS - UTILITY REVISIONS - SITE; UTE; RDS; P&P,1,X,S-19-1998
S,19,1998,1999,S-19-1998,SIDEWALK REVISION HOYLE DR - SDWK DET P&P,3,X,S-19-1998
S,19,1999,1999,S-19-1999,WOODBRIDGE PH 6 - SITE; UTE; RD; P&P,3,X,S-19-1999
S,19,1999,1999,S-19-1999,WOODBRIDGE  PH 6 REVISION - SITE; UTE; RD,5,X,S-19-1999
S,19,2000,2000,S-19-2000,THORNTON RD IMPROVEMENTS PH1 - STE; P&P,26,X,S-19-2000
S,19,2000,2000,S-19-2000,FOREST CREEK APTS,26,X,S-19-2000
S,19,2000,2001,S-19-2000,FOREST CREEK APTS - TREE; FLOOD; GREEN,4,X,S-19-2000
S,19,2000,2001,S-19-2000,THORTON RD SUBD - CONSTR PLANS; UTL; SEW; DTLS,1,X,S-19-2000
S,19,2000,2001,S-19-2000,THORNTON ROAD SUBDIVISION - SEWER REVISION,1,X,S-19-2000
S,19,2000,2002,S-19-2000,FALLS CREEK APTS - UTE; GR; DR; ERO; P&P,6,X,S-19-2000
S,19,2000,2003,S-19-2000,FALLS CREEK APTS - WATER; STORM DRAINAGE & SS REVISION ONLY,16,X,S-19-2000
S,19,2002,2002,S-19-2002,LAKELAND ESTATES    STE;UTE;STRM;ERO;ROADS;P&P SS O/F P&P,18,X,S-19-2002
S,19,2004,4-Sep,S-19-2004,FALLS VILLAGE TOWNHOMES,21,X,S-19-2004
S,19,2005,2005,S-19-2005,NICOLAS PLACE - REVISED 5/2012,14,X,S-19-2005
S,19,2006,6-Aug,S-19-2006,STOWECROFT SUBD; LOT 11-REVISED,15,X,S-19-2006
S,19,2009,5/10/2011,S-19-2009,KENT RD. SUBDIVISION - 1114 KENT RD,14,X,S-19-2009
S,20,1987,1987,S-20-1987,FAIRVEIW SECTION BUDLEIGH,1,X,S-20-1987
S,20,1988,1988,S-20-1988,NORTH RIDGE ESTATES ; PHASE 4,1,X,S-20-1988
S,20,1992,1992,S-20-1992,STONEY MANOR   (M-997),1,X,S-20-1992
S,20,1993,Feb-94,S-20-1993,SURVEY FOR CARMIKE CINEMAS ; INC.,1,X,S-20-1993
S,20,1994,1994,S-20-1994,10' ADDITIONAL R/W DEDICATED TO C.O.RALEIGH;EFFIE GREEN ELEM.SCHOOL;WAKE CO.BD. OF ED.(M-972),1,X,S-20-1994
S,20,1995,1995,S-20-1995,JENNIES WAY SUBD,3,X,S-20-1995
S,20,1996,Jul-96,S-20-1996,MAYBROOK DR,18,X,S-20-1996
S,20,1997,1998,S-20-1997,WYNGATE SUBDIVISION ; LOT 1 ; PHASE 1,2,X,S-20-1997
S,20,1998,1999,S-20-1998,PARK @ PERRY CREEK - SITE; UTILITY; ROADS; P&P; ERO,23,X,S-20-1998
S,20,1998,2000,S-20-1998,PARK @ PERRY CREEK PH 1 - REVISION OF SEWER - S; U; R; P&P; ERO,24,X,S-20-1998
S,20,1998,2000,S-20-1998,PARK @ PERRY CTEEK PH 1 & 6 & REV - STE; UTE; STREETS; STRM; P&P,9,X,S-20-1998
S,20,2000,5-Jun,S-20-2000,WESTGATE BUSINESS PARK PH 2 - LOT LAY/UTE; RD;ERO; P&P,4,X,S-20-2000
S,20,2000,2000,S-20-2000,WESTGATE BUSINESS PARK - LOT 4 SANITARY SEWER CONSTR PLANS,8,X,S-20-2000
S,20,2003,2003,S-20-2003,SUNCRESST VILLAGE PHASE 2 - LYT;P&P;SS O/F;ERO,19,X,S-20-2003
S,20,2003,2005,S-20-2003,SUNCREST VILLAGE PHASE III,9,X,S-20-2003
S,20,2005,2005,S-20-2005,GLEN LAKE SOUTH; PHASE 1,11,X,S-20-2005
S,20,2005,2005,S-20-2005,GLEN LAKE SOUTH,11,X,S-20-2005
S,20,2005,2007,S-20-2005,GLENWOOD WEST LIFESTYLE CENTER,38,X,S-20-2005
S,20,2006,2006,S-20-2006,LENNOX AT BRIER CREEK,24,X,S-20-2006
S,20,2006,2006,S-20-2006,LENNOX AT BRIER CREEK - REVISIONS UTILITY & FIRE PLAN,3,X,S-20-2006
S,20,2006,7-Nov,S-20-2006,LENNOX AT BRIER CREEK - STORMWATER REVISIONS - UTILLITY; GRADING; DRAINAGE & EROSION PLANS,7,X,S-20-2006
S,20,2007,6/29/2007,S-20-2007,BSP ATLANTIC ROADWAY PLANS PH 1,18,X,S-20-2007
S,20,2008,6/30/2008,S-20-2008,5401 NORTH ROADWAYS-PHASE 2 ; PERRY CREEK RD. & BECKOM DR.,15,X,S-20-2008
S,20,2009,2009,S-20-2009,PERRY COMMONS DRIVE ; PHASE 2,23,X,S-20-2009
S,20,2009,2009,S-20-2009,WADFORD DRIVE PROPERTIES,6,X,S-20-2009
S,20,2011,2011,S-20-2011,SHARED WETLANDS CONST. ; LOTS 4-7 WADFORD,1,X,S-20-2011
S,20,2012,2012,S-20-2012,SANCTUARY PARK ; CONSTRUCTION PLANS,15,X,S-20-2012
S,21,1980,1980,S-21-1980,SURVEY FOR RAINBOW PLACE ASSOCIATES   (Q-1068),1,X,S-21-1980
S,21,1983,1983,S-21-1983,THROPSHIRE FARM   (Q-1118),1,X,S-21-1983
S,21,1986,1988,S-21-1986,"PROPERTY OF BULLARD INDUSTRIES ""DRIFTWOOD ESTATES EXTENSION""      (J520)",1,X,S-21-1986
S,21,1987,1987,S-21-1987,REDIVISION OF LOCKWOOD ; SECTION 5 ; PART 1     (T-693),1,X,S-21-1987
S,21,1991,Jun-91,S-21-1991,TOWER  RESIDENTIAL ; LOTS 146-170      (S-1032),1,X,S-21-1991
S,21,1992,1992,S-21-1992,HEDINGHAM ON THE NEUSE/JUPITER HILLS AT (S-1089)  / FIRESTONE AT-PHASE 1  (S-1090),2,X,S-21-1992
S,21,1993,1993,S-21-1993,WOODSPRING SUBDIVISION - PHASE'S 1;2;5;6 & 7,6,X,S-21-1993
S,21,1995,1995,S-21-1995,SUBDIVISION SURVEY FOR RALEIGH CHURCH OF GOD,2,X,S-21-1995
S,21,1997,1997,S-21-1997,RAVEN'S RIDGE PH 1B LOT L/O P&P,1,X,S-21-1997
S,21,1998,1998,S-21-1998,PASSAGE HOME SUBD W/S,5,X,S-21-1998
S,21,2001,2001,S-21-2001,DEPT.OF JUSTICE; 3417 GARNER RD,11,X,S-21-2001
S,21,2002,2003,S-21-2002,TRYON PLACE SUBD      LYT;TRYON RD   P&P;RDS; P&P; O/F,11,X,S-21-2002
S,21,2003,3-Jun,S-21-2003,CARRINGTON SUBD @ WKFIELD PLANTATION  ST;UTE;DR;ER;ERO;L/S;P&P,19,X,S-21-2003
S,21,2003,2003,S-21-2003,WAKEFIELD PLANTATION - CARRINGTON SUBDIVISION,8,X,S-21-2003
S,21,2007,2007,S-21-2007,FALLSFORD TOWNHOMES - CONSTRUCTION PLANS,8,X,S-21-2007
S,21,2011,2/16/2012,S-21-2011,RAMBLEWOOD LANTERN ;109 RAMBLEWOOD DR. ; PHASES 2 & 3- REVISED 9-12-2012,58,X,S-21-2011
S,21,2012,3/4/2013,S-21-2012,LANTERN SQUARE AT RAMBLEWOOD INFRASTRUCTURE ; PHASE 1,12,X,S-21-2012
S,22,1991,1991,S-22-1991,RALEIGH EAST CONGREGATION OF JEHOVAHS WITNESSES  (T-795),1,X,S-22-1991
S,22,1993,1993,S-22-1993,RIVER OAKS SUBDIVISION ; PHASE 2,4,X,S-22-1993
S,22,1994,1994,S-22-1994,BRECKENRIDGE III SUBDIVISION   (L-1350),2,X,S-22-1994
S,22,1997,Apr-97,S-22-1997,CAMERON VIEW TOWNES - STE; UTE; P&P,2,X,S-22-1997
S,22,1997,1997,S-22-1997,CAMERON VEIW TOWNES,10,X,S-22-1997
S,22,1998,1999,S-22-1998,ROWLAND BUSINESS PARK ; PERRY CREEK CROSSING,5,X,S-22-1998
S,22,1999,1999,S-22-1999,TRAEMOOR VILLAGE SITE - UTE; ST; P&P; STREET MARKING,14,X,S-22-1999
S,22,1999,2000,S-22-1999,TRAEMOOE VILLAGE REVISION -SITE; UTE; ST; P&P,17,X,S-22-1999
S,22,1999,2001,S-22-1999,TRAEMOOR VILLAGE - STE; PH PLAN; UTE; STS; P&P; PAV MRK; ERO; L/S,16,X,S-22-1999
S,22,1999,2001,S-22-1999,TRAEMOOR VILLAGE CLUSTER DEV - STE; GR; UTE; RDS P&P; OUTFALL; PVMT MARK; ERO; LNDS,16,X,S-22-1999
S,22,1999,Feb-00,S-22-1999,TRAEMOOR VILLAGE -STE PLAN; GRD; UTL; DTL SHTS; ERO; DTLS; ,1,X,S-22-1999
S,22,2000,2000,S-22-2000,RECOMBINATION;RIGHT OF WAY DEDICATION ; UMSTED GLEN SUBDIVISION,8,X,S-22-2000
S,22,2001,2001,S-22-2001,WALNUT CREEK BUS PK PH 4 LOT 6 ERO,9,X,S-22-2001
S,22,2001,2003,S-22-2001,WALNUT CRK BUS PARK-PH 2 PH 4 LOT 7  LAYOUT;UTE;SWR; P&P;RDS;P&P GR;DR;ERO,8,X,S-22-2001
S,22,2001,2005,S-22-2001,WALNUT CRK BUS PK ROADWAY IMPRVMTS     DEMO;ERO P&P; LS,7,X,S-22-2001
